outer_fold,model,candidate,parameters,inner_fold,validation_ap,iterations,nonzero_features,violations
1,Elastic Net,13,"{""lambda"": 10.0, ""l1_ratio"": 0.5}",2,0.4166666666666667,1,0,
1,Elastic Net,13,"{""lambda"": 10.0, ""l1_ratio"": 0.5}",3,0.45454545454545453,1,0,
1,Elastic Net,13,"{""lambda"": 10.0, ""l1_ratio"": 0.5}",4,0.45454545454545453,1,0,
1,Elastic Net,13,"{""lambda"": 10.0, ""l1_ratio"": 0.5}",5,0.4,1,0,
1,Elastic Net,14,"{""lambda"": 10.0, ""l1_ratio"": 0.9}",1,0.4166666666666667,1,0,
1,Elastic Net,14,"{""lambda"": 10.0, ""l1_ratio"": 0.9}",2,0.4166666666666667,1,0,
1,Elastic Net,14,"{""lambda"": 10.0, ""l1_ratio"": 0.9}",3,0.45454545454545453,1,0,
1,Elastic Net,14,"{""lambda"": 10.0, ""l1_ratio"": 0.9}",4,0.45454545454545453,1,0,
1,Elastic Net,14,"{""lambda"": 10.0, ""l1_ratio"": 0.9}",5,0.4,1,0,
1,SVM,0,"{""C"": 0.01, ""gamma"": ""scale""}",1,0.6295238095238094,30,21,
1,SVM,0,"{""C"": 0.01, ""gamma"": ""scale""}",2,0.5175757575757576,29,21,
1,SVM,0,"{""C"": 0.01, ""gamma"": ""scale""}",3,0.6746031746031746,25,21,
1,SVM,0,"{""C"": 0.01, ""gamma"": ""scale""}",4,0.885,30,21,
1,SVM,0,"{""C"": 0.01, ""gamma"": ""scale""}",5,0.7708333333333333,31,21,
1,SVM,1,"{""C"": 0.01, ""gamma"": 0.01}",1,0.6783333333333332,23,21,
1,SVM,1,"{""C"": 0.01, ""gamma"": 0.01}",2,0.5119408369408369,24,21,
1,SVM,1,"{""C"": 0.01, ""gamma"": 0.01}",3,0.6222222222222222,21,21,
1,SVM,1,"{""C"": 0.01, ""gamma"": 0.01}",4,0.7544444444444445,24,21,
1,SVM,1,"{""C"": 0.01, ""gamma"": 0.01}",5,0.8041666666666667,23,21,
1,SVM,2,"{""C"": 0.01, ""gamma"": 0.1}",1,0.596190476190476,36,21,
1,SVM,2,"{""C"": 0.01, ""gamma"": 0.1}",2,0.4459090909090909,35,21,
1,SVM,2,"{""C"": 0.01, ""gamma"": 0.1}",3,0.4666666666666667,36,21,
1,SVM,2,"{""C"": 0.01, ""gamma"": 0.1}",4,0.8761904761904762,35,21,
1,SVM,2,"{""C"": 0.01, ""gamma"": 0.1}",5,0.775,36,21,
1,SVM,3,"{""C"": 0.1, ""gamma"": ""scale""}",1,0.6595238095238095,39,21,
1,SVM,3,"{""C"": 0.1, ""gamma"": ""scale""}",2,0.5175757575757576,41,21,
1,SVM,3,"{""C"": 0.1, ""gamma"": ""scale""}",3,0.6746031746031746,34,21,
1,SVM,3,"{""C"": 0.1, ""gamma"": ""scale""}",4,0.885,42,21,
1,SVM,3,"{""C"": 0.1, ""gamma"": ""scale""}",5,0.7708333333333333,37,21,
1,SVM,4,"{""C"": 0.1, ""gamma"": 0.01}",1,0.696190476190476,28,21,
1,SVM,4,"{""C"": 0.1, ""gamma"": 0.01}",2,0.5119408369408369,26,21,
1,SVM,4,"{""C"": 0.1, ""gamma"": 0.01}",3,0.6222222222222222,24,21,
1,SVM,4,"{""C"": 0.1, ""gamma"": 0.01}",4,0.7544444444444445,27,21,
1,SVM,4,"{""C"": 0.1, ""gamma"": 0.01}",5,0.8041666666666667,25,21,
1,SVM,5,"{""C"": 0.1, ""gamma"": 0.1}",1,0.5592857142857143,49,21,
1,SVM,5,"{""C"": 0.1, ""gamma"": 0.1}",2,0.4459090909090909,44,21,
1,SVM,5,"{""C"": 0.1, ""gamma"": 0.1}",3,0.4666666666666667,49,21,
1,SVM,5,"{""C"": 0.1, ""gamma"": 0.1}",4,0.8583333333333332,50,21,
1,SVM,5,"{""C"": 0.1, ""gamma"": 0.1}",5,0.775,46,21,
1,SVM,6,"{""C"": 1.0, ""gamma"": ""scale""}",1,0.596190476190476,57,21,
1,SVM,6,"{""C"": 1.0, ""gamma"": ""scale""}",2,0.5375757575757576,57,21,
1,SVM,6,"{""C"": 1.0, ""gamma"": ""scale""}",3,0.607936507936508,42,21,
1,SVM,6,"{""C"": 1.0, ""gamma"": ""scale""}",4,0.885,55,21,
1,SVM,6,"{""C"": 1.0, ""gamma"": ""scale""}",5,0.7708333333333333,48,21,
1,SVM,7,"{""C"": 1.0, ""gamma"": 0.01}",1,0.696190476190476,35,21,
1,SVM,7,"{""C"": 1.0, ""gamma"": 0.01}",2,0.5119408369408369,37,21,
1,SVM,7,"{""C"": 1.0, ""gamma"": 0.01}",3,0.6746031746031746,27,21,
1,SVM,7,"{""C"": 1.0, ""gamma"": 0.01}",4,0.7544444444444445,29,21,
1,SVM,7,"{""C"": 1.0, ""gamma"": 0.01}",5,0.8041666666666667,29,21,
1,SVM,8,"{""C"": 1.0, ""gamma"": 0.1}",1,0.5783333333333333,61,21,
1,SVM,8,"{""C"": 1.0, ""gamma"": 0.1}",2,0.45793650793650786,58,21,
1,SVM,8,"{""C"": 1.0, ""gamma"": 0.1}",3,0.4666666666666667,66,21,
1,SVM,8,"{""C"": 1.0, ""gamma"": 0.1}",4,0.8583333333333332,67,21,
1,SVM,8,"{""C"": 1.0, ""gamma"": 0.1}",5,0.775,59,21,
1,SVM,9,"{""C"": 10.0, ""gamma"": ""scale""}",1,0.696190476190476,133,21,
1,SVM,9,"{""C"": 10.0, ""gamma"": ""scale""}",2,0.3893939393939394,133,21,
1,SVM,9,"{""C"": 10.0, ""gamma"": ""scale""}",3,0.5342857142857143,120,21,
1,SVM,9,"{""C"": 10.0, ""gamma"": ""scale""}",4,0.8261904761904761,128,21,
1,SVM,9,"{""C"": 10.0, ""gamma"": ""scale""}",5,0.775,137,21,
1,SVM,10,"{""C"": 10.0, ""gamma"": 0.01}",1,0.696190476190476,170,21,
1,SVM,10,"{""C"": 10.0, ""gamma"": 0.01}",2,0.39329004329004325,126,21,
1,SVM,10,"{""C"": 10.0, ""gamma"": 0.01}",3,0.6476190476190475,158,21,
1,SVM,10,"{""C"": 10.0, ""gamma"": 0.01}",4,0.6166666666666666,138,21,
1,SVM,10,"{""C"": 10.0, ""gamma"": 0.01}",5,0.8166666666666667,134,21,
1,SVM,11,"{""C"": 10.0, ""gamma"": 0.1}",1,0.6644444444444444,96,21,
1,SVM,11,"{""C"": 10.0, ""gamma"": 0.1}",2,0.3893939393939394,91,21,
1,SVM,11,"{""C"": 10.0, ""gamma"": 0.1}",3,0.5009523809523809,85,21,
1,SVM,11,"{""C"": 10.0, ""gamma"": 0.1}",4,0.8253968253968254,88,21,
1,SVM,11,"{""C"": 10.0, ""gamma"": 0.1}",5,0.6916666666666667,101,21,
1,SVM,12,"{""C"": 100.0, ""gamma"": ""scale""}",1,0.696190476190476,133,21,
1,SVM,12,"{""C"": 100.0, ""gamma"": ""scale""}",2,0.3893939393939394,133,21,
1,SVM,12,"{""C"": 100.0, ""gamma"": ""scale""}",3,0.5342857142857143,120,21,
1,SVM,12,"{""C"": 100.0, ""gamma"": ""scale""}",4,0.8261904761904761,128,21,
1,SVM,12,"{""C"": 100.0, ""gamma"": ""scale""}",5,0.775,137,21,
1,SVM,13,"{""C"": 100.0, ""gamma"": 0.01}",1,0.6926190476190477,383,21,
1,SVM,13,"{""C"": 100.0, ""gamma"": 0.01}",2,0.36833333333333335,314,21,
1,SVM,13,"{""C"": 100.0, ""gamma"": 0.01}",3,0.7142857142857142,298,21,
1,SVM,13,"{""C"": 100.0, ""gamma"": 0.01}",4,0.72,374,21,
1,SVM,13,"{""C"": 100.0, ""gamma"": 0.01}",5,0.5527777777777778,384,21,
1,SVM,14,"{""C"": 100.0, ""gamma"": 0.1}",1,0.6644444444444444,96,21,
1,SVM,14,"{""C"": 100.0, ""gamma"": 0.1}",2,0.3893939393939394,91,21,
1,SVM,14,"{""C"": 100.0, ""gamma"": 0.1}",3,0.5009523809523809,85,21,
1,SVM,14,"{""C"": 100.0, ""gamma"": 0.1}",4,0.8253968253968254,88,21,
1,SVM,14,"{""C"": 100.0, ""gamma"": 0.1}",5,0.6916666666666667,101,21,
2,Monotonic,0,"{""lambda"": 0.001}",1,0.353051948051948,47,17,0.0
2,Monotonic,0,"{""lambda"": 0.001}",2,0.8,38,16,0.0
2,Monotonic,0,"{""lambda"": 0.001}",3,0.7642857142857142,39,16,0.0
2,Monotonic,0,"{""lambda"": 0.001}",4,0.6277777777777778,38,16,0.0
2,Monotonic,0,"{""lambda"": 0.001}",5,0.7644444444444445,34,16,0.0
2,Monotonic,1,"{""lambda"": 0.01}",1,0.3899567099567099,28,18,0.0
2,Monotonic,1,"{""lambda"": 0.01}",2,0.8333333333333333,29,17,0.0
2,Monotonic,1,"{""lambda"": 0.01}",3,0.7166666666666666,30,17,0.0
2,Monotonic,1,"{""lambda"": 0.01}",4,0.7277777777777779,30,17,0.0
2,Monotonic,1,"{""lambda"": 0.01}",5,0.7944444444444445,26,16,0.0
2,Monotonic,2,"{""lambda"": 0.1}",1,0.42329004329004327,17,20,0.0
2,Monotonic,2,"{""lambda"": 0.1}",2,0.7944444444444445,15,19,0.0
2,Monotonic,2,"{""lambda"": 0.1}",3,0.7166666666666666,16,19,0.0
2,Monotonic,2,"{""lambda"": 0.1}",4,0.7944444444444445,15,19,0.0
2,Monotonic,2,"{""lambda"": 0.1}",5,0.8444444444444443,14,17,0.0
2,Monotonic,3,"{""lambda"": 1.0}",1,0.5242424242424242,12,20,0.0
2,Monotonic,3,"{""lambda"": 1.0}",2,0.7783333333333333,12,21,0.0
2,Monotonic,3,"{""lambda"": 1.0}",3,0.6544444444444445,12,19,0.0
2,Monotonic,3,"{""lambda"": 1.0}",4,0.7753968253968253,12,20,0.0
2,Monotonic,3,"{""lambda"": 1.0}",5,0.8599999999999999,10,19,0.0
2,Monotonic,4,"{""lambda"": 10.0}",1,0.6542424242424243,10,21,0.0
2,Monotonic,4,"{""lambda"": 10.0}",2,0.7592857142857143,10,21,0.0
2,Monotonic,4,"{""lambda"": 10.0}",3,0.6683333333333333,10,20,0.0
2,Monotonic,4,"{""lambda"": 10.0}",4,0.7944444444444445,10,19,0.0
2,Monotonic,4,"{""lambda"": 10.0}",5,0.81,10,20,0.0
2,L2,0,"{""lambda"": 0.001}",1,0.48757575757575755,51,21,
2,L2,0,"{""lambda"": 0.001}",2,0.7888888888888888,67,21,
2,L2,0,"{""lambda"": 0.001}",3,0.6476190476190475,62,21,
2,L2,0,"{""lambda"": 0.001}",4,0.7087301587301587,60,21,
2,L2,0,"{""lambda"": 0.001}",5,0.6166666666666666,66,21,
