repeat,seed,outer_fold,model,n_train,n_test,test_positives,prevalence,pr_auc_ap,best_inner_ap,candidate,parameters,iterations,nonzero_features,violating_features,max_violation,l2,soft_penalty,violations
4,3042,1,Monotonic + L2,56,15,7,0.4666666666666667,0.7743506493506493,0.7396580086580087,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
4,3042,1,L2,56,15,7,0.4666666666666667,0.7580197580197578,0.74237012987013,3,"{""l2"": 1.0}",11,21,,,1.0,,
4,3042,2,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.5680916305916306,0.7772063492063491,23,"{""l2"": 1.0, ""soft_penalty"": 10.0}",19,21,2.0,0.0031647885739894926,1.0,10.0,
4,3042,2,Monotonic + L2,57,14,6,0.42857142857142855,0.5680916305916306,0.7772063492063491,3,"{""l2"": 1.0}",12,19,0.0,0.0,1.0,,0.0
4,3042,2,L2,57,14,6,0.42857142857142855,0.5680916305916306,0.769095238095238,3,"{""l2"": 1.0}",10,21,,,1.0,,
4,3042,3,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.6805555555555555,0.7185772005772005,23,"{""l2"": 1.0, ""soft_penalty"": 10.0}",20,21,2.0,0.004626058043413834,1.0,10.0,
4,3042,3,Monotonic + L2,57,14,6,0.42857142857142855,0.6646825396825397,0.7147835497835497,2,"{""l2"": 0.1}",15,18,0.0,0.0,0.1,,0.0
4,3042,3,L2,57,14,6,0.42857142857142855,0.7285353535353535,0.6999105339105338,3,"{""l2"": 1.0}",10,21,,,1.0,,
4,3042,4,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.7694805194805194,0.6943015873015874,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",11,21,2.0,0.0024088860586488564,10.0,10.0,
4,3042,4,Monotonic + L2,57,14,6,0.42857142857142855,0.7853535353535354,0.6943015873015874,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
4,3042,4,L2,57,14,6,0.42857142857142855,0.7575757575757576,0.6892222222222222,4,"{""l2"": 10.0}",10,21,,,10.0,,
4,3042,5,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.6801587301587302,0.7284761904761905,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",9,21,1.0,0.010156593221153493,10.0,0.0,
4,3042,5,Monotonic + L2,57,14,6,0.42857142857142855,0.6801587301587302,0.7125079365079365,4,"{""l2"": 10.0}",10,20,0.0,0.0,10.0,,0.0
4,3042,5,L2,57,14,6,0.42857142857142855,0.6801587301587302,0.7284761904761905,4,"{""l2"": 10.0}",9,21,,,10.0,,
5,4042,1,Soft Monotonic + L2,56,15,7,0.4666666666666667,0.5746340960626675,0.7550930735930735,22,"{""l2"": 1.0, ""soft_penalty"": 1.0}",12,21,3.0,0.014916033557357097,1.0,1.0,
5,4042,1,Monotonic + L2,56,15,7,0.4666666666666667,0.5746340960626675,0.7484264069264068,3,"{""l2"": 1.0}",12,18,0.0,0.0,1.0,,0.0
5,4042,1,L2,56,15,7,0.4666666666666667,0.5923469387755101,0.7484264069264068,3,"{""l2"": 1.0}",11,21,,,1.0,,
5,4042,2,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.7238455988455988,0.7432929292929293,17,"{""l2"": 0.1, ""soft_penalty"": 10.0}",57,21,5.0,0.004770276233970025,0.1,10.0,
5,4042,2,Monotonic + L2,57,14,6,0.42857142857142855,0.746067821067821,0.7432929292929293,2,"{""l2"": 0.1}",14,16,0.0,0.0,0.1,,0.0
5,4042,2,L2,57,14,6,0.42857142857142855,0.7794011544011543,0.6922611832611832,3,"{""l2"": 1.0}",11,21,,,1.0,,
5,4042,3,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.38359788359788366,0.8493650793650793,16,"{""l2"": 0.1, ""soft_penalty"": 1.0}",25,21,4.0,0.030088677289324565,0.1,1.0,
5,4042,3,Monotonic + L2,57,14,6,0.42857142857142855,0.38359788359788366,0.8493650793650793,2,"{""l2"": 0.1}",15,17,0.0,0.0,0.1,,0.0
5,4042,3,L2,57,14,6,0.42857142857142855,0.3708485958485959,0.8336825396825397,2,"{""l2"": 0.1}",17,21,,,0.1,,
5,4042,4,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.787037037037037,0.7042698412698412,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",12,21,2.0,0.002918760334921575,10.0,10.0,
5,4042,4,Monotonic + L2,57,14,6,0.42857142857142855,0.7806267806267806,0.7236031746031746,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
5,4042,4,L2,57,14,6,0.42857142857142855,0.787037037037037,0.6979206349206348,4,"{""l2"": 10.0}",10,21,,,10.0,,
5,4042,5,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.7297008547008547,0.6792539682539683,28,"{""l2"": 10.0, ""soft_penalty"": 1.0}",10,21,2.0,0.0026594633116925654,10.0,1.0,
5,4042,5,Monotonic + L2,57,14,6,0.42857142857142855,0.7297008547008547,0.6831428571428572,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
5,4042,5,L2,57,14,6,0.42857142857142855,0.7297008547008547,0.6694920634920635,3,"{""l2"": 1.0}",10,21,,,1.0,,
6,5042,1,Soft Monotonic + L2,56,15,7,0.4666666666666667,0.6665834165834166,0.7379047619047617,23,"{""l2"": 1.0, ""soft_penalty"": 10.0}",15,21,1.0,0.004619016227933115,1.0,10.0,
6,5042,1,Monotonic + L2,56,15,7,0.4666666666666667,0.6506493506493507,0.7389047619047618,4,"{""l2"": 10.0}",10,20,0.0,0.0,10.0,,0.0
6,5042,1,L2,56,15,7,0.4666666666666667,0.681013431013431,0.7306666666666667,3,"{""l2"": 1.0}",11,21,,,1.0,,
6,5042,2,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.8092592592592592,0.6674675324675324,12,"{""l2"": 0.1, ""soft_penalty"": 0.0}",17,21,3.0,0.24910627668330504,0.1,0.0,
6,5042,2,Monotonic + L2,57,14,6,0.42857142857142855,0.8208333333333333,0.633007215007215,2,"{""l2"": 0.1}",15,17,0.0,0.0,0.1,,0.0
6,5042,2,L2,57,14,6,0.42857142857142855,0.8092592592592592,0.6674675324675324,2,"{""l2"": 0.1}",17,21,,,0.1,,
6,5042,3,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.7291666666666666,0.7175699855699855,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",11,21,3.0,0.0026488220869906724,10.0,10.0,
6,5042,3,Monotonic + L2,57,14,6,0.42857142857142855,0.7291666666666666,0.7267518037518037,4,"{""l2"": 10.0}",9,18,0.0,0.0,10.0,,0.0
6,5042,3,L2,57,14,6,0.42857142857142855,0.7041666666666665,0.7124906204906205,4,"{""l2"": 10.0}",9,21,,,10.0,,
6,5042,4,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.6906084656084656,0.744991341991342,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",10,21,2.0,0.0021810562879267486,10.0,0.0,
6,5042,4,Monotonic + L2,57,14,6,0.42857142857142855,0.7461640211640211,0.7488008658008659,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
6,5042,4,L2,57,14,6,0.42857142857142855,0.6906084656084656,0.744991341991342,4,"{""l2"": 10.0}",10,21,,,10.0,,
6,5042,5,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.6878306878306878,0.6633088023088023,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",11,21,1.0,0.0035974054838967275,10.0,10.0,
6,5042,5,Monotonic + L2,57,14,6,0.42857142857142855,0.6878306878306878,0.6768326118326117,4,"{""l2"": 10.0}",10,20,0.0,0.0,10.0,,0.0
6,5042,5,L2,57,14,6,0.42857142857142855,0.6878306878306878,0.6564516594516594,4,"{""l2"": 10.0}",10,21,,,10.0,,
7,6042,1,Soft Monotonic + L2,56,15,7,0.4666666666666667,0.7168109668109668,0.732,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",11,21,1.0,0.0034794106805241826,10.0,10.0,
7,6042,1,Monotonic + L2,56,15,7,0.4666666666666667,0.7103174603174602,0.732,4,"{""l2"": 10.0}",10,20,0.0,0.0,10.0,,0.0
7,6042,1,L2,56,15,7,0.4666666666666667,0.7168109668109668,0.724,4,"{""l2"": 10.0}",10,21,,,10.0,,
7,6042,2,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.43607503607503606,0.7432698412698413,22,"{""l2"": 1.0, ""soft_penalty"": 1.0}",11,21,2.0,0.030010357942478787,1.0,1.0,
7,6042,2,Monotonic + L2,57,14,6,0.42857142857142855,0.4221861471861472,0.7264920634920635,3,"{""l2"": 1.0}",12,19,0.0,0.0,1.0,,0.0
7,6042,2,L2,57,14,6,0.42857142857142855,0.4296647796647797,0.7372698412698412,3,"{""l2"": 1.0}",10,21,,,1.0,,
7,6042,3,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.7066498316498316,0.7416666666666666,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",14,21,3.0,0.0008381908579105109,10.0,10.0,
7,6042,3,Monotonic + L2,57,14,6,0.42857142857142855,0.7066498316498316,0.7522222222222222,4,"{""l2"": 10.0}",10,18,0.0,0.0,10.0,,0.0
7,6042,3,L2,57,14,6,0.42857142857142855,0.7066498316498316,0.740031746031746,3,"{""l2"": 1.0}",11,21,,,1.0,,
7,6042,4,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.7327380952380952,0.718118326118326,17,"{""l2"": 0.1, ""soft_penalty"": 10.0}",52,21,4.0,0.0038481581002513137,0.1,10.0,
7,6042,4,Monotonic + L2,57,14,6,0.42857142857142855,0.723647186147186,0.718118326118326,2,"{""l2"": 0.1}",16,17,0.0,0.0,0.1,,0.0
