repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violating_features,max_violation,l2,soft_penalty,violations
1,1,2,Soft Monotonic + L2,11,"{""l2"": 0.01, ""soft_penalty"": 10.0}",0.3875757575757576,143,21,7.0,0.004276468992853788,0.01,10.0,
1,1,3,Soft Monotonic + L2,11,"{""l2"": 0.01, ""soft_penalty"": 10.0}",0.6311111111111112,131,21,5.0,0.00752597130366685,0.01,10.0,
1,1,4,Soft Monotonic + L2,11,"{""l2"": 0.01, ""soft_penalty"": 10.0}",0.8333333333333333,134,21,7.0,0.006125740809036775,0.01,10.0,
1,1,5,Soft Monotonic + L2,11,"{""l2"": 0.01, ""soft_penalty"": 10.0}",0.8875,130,21,6.0,0.007374475760745415,0.01,10.0,
1,1,1,Soft Monotonic + L2,12,"{""l2"": 0.1, ""soft_penalty"": 0.0}",0.7595238095238095,17,21,5.0,0.24948646213266004,0.1,0.0,
1,1,2,Soft Monotonic + L2,12,"{""l2"": 0.1, ""soft_penalty"": 0.0}",0.5125757575757576,17,21,6.0,0.24895877448920462,0.1,0.0,
1,1,3,Soft Monotonic + L2,12,"{""l2"": 0.1, ""soft_penalty"": 0.0}",0.6587301587301588,16,21,4.0,0.3928653894513394,0.1,0.0,
1,1,4,Soft Monotonic + L2,12,"{""l2"": 0.1, ""soft_penalty"": 0.0}",0.6433333333333333,16,21,3.0,0.31265516167219304,0.1,0.0,
1,1,5,Soft Monotonic + L2,12,"{""l2"": 0.1, ""soft_penalty"": 0.0}",0.95,17,21,3.0,0.3169831808861624,0.1,0.0,
1,1,1,Soft Monotonic + L2,13,"{""l2"": 0.1, ""soft_penalty"": 0.001}",0.7595238095238095,17,21,5.0,0.24830303808757867,0.1,0.001,
1,1,2,Soft Monotonic + L2,13,"{""l2"": 0.1, ""soft_penalty"": 0.001}",0.5125757575757576,17,21,6.0,0.24776384972912047,0.1,0.001,
1,1,3,Soft Monotonic + L2,13,"{""l2"": 0.1, ""soft_penalty"": 0.001}",0.6587301587301588,16,21,4.0,0.3910748126760976,0.1,0.001,
1,1,4,Soft Monotonic + L2,13,"{""l2"": 0.1, ""soft_penalty"": 0.001}",0.6433333333333333,16,21,3.0,0.31116272783879334,0.1,0.001,
1,1,5,Soft Monotonic + L2,13,"{""l2"": 0.1, ""soft_penalty"": 0.001}",0.95,17,21,3.0,0.3156026625890563,0.1,0.001,
1,1,1,Soft Monotonic + L2,14,"{""l2"": 0.1, ""soft_penalty"": 0.01}",0.7595238095238095,17,21,6.0,0.2381535231253996,0.1,0.01,
1,1,2,Soft Monotonic + L2,14,"{""l2"": 0.1, ""soft_penalty"": 0.01}",0.503051948051948,17,21,6.0,0.23753998090847056,0.1,0.01,
1,1,3,Soft Monotonic + L2,14,"{""l2"": 0.1, ""soft_penalty"": 0.01}",0.6587301587301588,15,21,4.0,0.37569231924151925,0.1,0.01,
1,1,4,Soft Monotonic + L2,14,"{""l2"": 0.1, ""soft_penalty"": 0.01}",0.6433333333333333,16,21,3.0,0.2983555545454453,0.1,0.01,
1,1,5,Soft Monotonic + L2,14,"{""l2"": 0.1, ""soft_penalty"": 0.01}",0.95,17,21,4.0,0.3037485364365686,0.1,0.01,
1,1,1,Soft Monotonic + L2,15,"{""l2"": 0.1, ""soft_penalty"": 0.1}",0.7595238095238095,17,21,6.0,0.16962356771416873,0.1,0.1,
1,1,2,Soft Monotonic + L2,15,"{""l2"": 0.1, ""soft_penalty"": 0.1}",0.5119408369408369,16,21,6.0,0.16932063594554433,0.1,0.1,
1,1,3,Soft Monotonic + L2,15,"{""l2"": 0.1, ""soft_penalty"": 0.1}",0.6587301587301588,15,21,4.0,0.27055705332575775,0.1,0.1,
1,1,4,Soft Monotonic + L2,15,"{""l2"": 0.1, ""soft_penalty"": 0.1}",0.6433333333333333,16,21,3.0,0.2116807711257212,0.1,0.1,
1,1,5,Soft Monotonic + L2,15,"{""l2"": 0.1, ""soft_penalty"": 0.1}",0.9166666666666666,17,21,4.0,0.2224965190002085,0.1,0.1,
1,1,1,Soft Monotonic + L2,16,"{""l2"": 0.1, ""soft_penalty"": 1.0}",0.7595238095238095,25,21,6.0,0.04444151552328153,0.1,1.0,
1,1,2,Soft Monotonic + L2,16,"{""l2"": 0.1, ""soft_penalty"": 1.0}",0.5432900432900433,25,21,6.0,0.0450603309328029,0.1,1.0,
1,1,3,Soft Monotonic + L2,16,"{""l2"": 0.1, ""soft_penalty"": 1.0}",0.5968253968253969,23,21,4.0,0.07223989579961632,0.1,1.0,
1,1,4,Soft Monotonic + L2,16,"{""l2"": 0.1, ""soft_penalty"": 1.0}",0.8999999999999999,24,21,4.0,0.05477272475271162,0.1,1.0,
1,1,5,Soft Monotonic + L2,16,"{""l2"": 0.1, ""soft_penalty"": 1.0}",0.95,25,21,4.0,0.06247005520614632,0.1,1.0,
1,1,1,Soft Monotonic + L2,17,"{""l2"": 0.1, ""soft_penalty"": 10.0}",0.7595238095238095,61,21,6.0,0.005326739061106713,0.1,10.0,
1,1,2,Soft Monotonic + L2,17,"{""l2"": 0.1, ""soft_penalty"": 10.0}",0.5432900432900433,60,21,6.0,0.005444624461181415,0.1,10.0,
1,1,3,Soft Monotonic + L2,17,"{""l2"": 0.1, ""soft_penalty"": 10.0}",0.5968253968253969,53,21,4.0,0.008699612247642456,0.1,10.0,
1,1,4,Soft Monotonic + L2,17,"{""l2"": 0.1, ""soft_penalty"": 10.0}",0.8999999999999999,54,21,4.0,0.006568642710374776,0.1,10.0,
1,1,5,Soft Monotonic + L2,17,"{""l2"": 0.1, ""soft_penalty"": 10.0}",0.95,63,21,4.0,0.00767748639997925,0.1,10.0,
1,1,1,Soft Monotonic + L2,18,"{""l2"": 1.0, ""soft_penalty"": 0.0}",0.7295238095238095,11,21,3.0,0.05591999956705187,1.0,0.0,
1,1,2,Soft Monotonic + L2,18,"{""l2"": 1.0, ""soft_penalty"": 0.0}",0.521031746031746,11,21,3.0,0.07703364090030573,1.0,0.0,
1,1,3,Soft Monotonic + L2,18,"{""l2"": 1.0, ""soft_penalty"": 0.0}",0.711111111111111,11,21,2.0,0.07717055278533283,1.0,0.0,
1,1,4,Soft Monotonic + L2,18,"{""l2"": 1.0, ""soft_penalty"": 0.0}",0.8211111111111111,10,21,3.0,0.04094213230034409,1.0,0.0,
1,1,5,Soft Monotonic + L2,18,"{""l2"": 1.0, ""soft_penalty"": 0.0}",0.7708333333333333,10,21,2.0,0.07851962186364042,1.0,0.0,
1,1,1,Soft Monotonic + L2,19,"{""l2"": 1.0, ""soft_penalty"": 0.001}",0.7295238095238095,11,21,3.0,0.05587432468595355,1.0,0.001,
1,1,2,Soft Monotonic + L2,19,"{""l2"": 1.0, ""soft_penalty"": 0.001}",0.521031746031746,11,21,3.0,0.07696988735288886,1.0,0.001,
1,1,3,Soft Monotonic + L2,19,"{""l2"": 1.0, ""soft_penalty"": 0.001}",0.711111111111111,11,21,2.0,0.07710690964260557,1.0,0.001,
1,1,4,Soft Monotonic + L2,19,"{""l2"": 1.0, ""soft_penalty"": 0.001}",0.8211111111111111,10,21,3.0,0.04090868396356204,1.0,0.001,
1,1,5,Soft Monotonic + L2,19,"{""l2"": 1.0, ""soft_penalty"": 0.001}",0.7708333333333333,10,21,2.0,0.0784545083601253,1.0,0.001,
1,1,1,Soft Monotonic + L2,20,"{""l2"": 1.0, ""soft_penalty"": 0.01}",0.7295238095238095,11,21,3.0,0.05546658995867702,1.0,0.01,
1,1,2,Soft Monotonic + L2,20,"{""l2"": 1.0, ""soft_penalty"": 0.01}",0.521031746031746,11,21,3.0,0.07640082827908731,1.0,0.01,
1,1,3,Soft Monotonic + L2,20,"{""l2"": 1.0, ""soft_penalty"": 0.01}",0.711111111111111,11,21,2.0,0.07653881661965188,1.0,0.01,
1,1,4,Soft Monotonic + L2,20,"{""l2"": 1.0, ""soft_penalty"": 0.01}",0.8211111111111111,10,21,3.0,0.04061009503740246,1.0,0.01,
1,1,5,Soft Monotonic + L2,20,"{""l2"": 1.0, ""soft_penalty"": 0.01}",0.7708333333333333,10,21,2.0,0.07787332042071939,1.0,0.01,
1,1,1,Soft Monotonic + L2,21,"{""l2"": 1.0, ""soft_penalty"": 0.1}",0.7295238095238095,11,21,3.0,0.05169475414709096,1.0,0.1,
1,1,2,Soft Monotonic + L2,21,"{""l2"": 1.0, ""soft_penalty"": 0.1}",0.521031746031746,11,21,3.0,0.07114190625357389,1.0,0.1,
1,1,3,Soft Monotonic + L2,21,"{""l2"": 1.0, ""soft_penalty"": 0.1}",0.711111111111111,11,21,2.0,0.07128714626091379,1.0,0.1,
1,1,4,Soft Monotonic + L2,21,"{""l2"": 1.0, ""soft_penalty"": 0.1}",0.8211111111111111,10,21,3.0,0.037848005492876084,1.0,0.1,
1,1,5,Soft Monotonic + L2,21,"{""l2"": 1.0, ""soft_penalty"": 0.1}",0.7708333333333333,11,21,2.0,0.07250308531179707,1.0,0.1,
1,1,1,Soft Monotonic + L2,22,"{""l2"": 1.0, ""soft_penalty"": 1.0}",0.7295238095238095,12,21,3.0,0.030779286890478035,1.0,1.0,
1,1,2,Soft Monotonic + L2,22,"{""l2"": 1.0, ""soft_penalty"": 1.0}",0.521031746031746,13,21,3.0,0.04215086657285182,1.0,1.0,
1,1,3,Soft Monotonic + L2,22,"{""l2"": 1.0, ""soft_penalty"": 1.0}",0.6968253968253968,12,21,2.0,0.042285904710010196,1.0,1.0,
1,1,4,Soft Monotonic + L2,22,"{""l2"": 1.0, ""soft_penalty"": 1.0}",0.911111111111111,11,21,3.0,0.022533391919794823,1.0,1.0,
1,1,5,Soft Monotonic + L2,22,"{""l2"": 1.0, ""soft_penalty"": 1.0}",0.7708333333333333,12,21,2.0,0.04292444304211529,1.0,1.0,
1,1,1,Soft Monotonic + L2,23,"{""l2"": 1.0, ""soft_penalty"": 10.0}",0.7295238095238095,21,21,3.0,0.006103580404610718,1.0,10.0,
1,1,2,Soft Monotonic + L2,23,"{""l2"": 1.0, ""soft_penalty"": 10.0}",0.5412698412698412,23,21,3.0,0.008310583531371348,1.0,10.0,
1,1,3,Soft Monotonic + L2,23,"{""l2"": 1.0, ""soft_penalty"": 10.0}",0.711111111111111,21,21,2.0,0.008346138687131384,1.0,10.0,
1,1,4,Soft Monotonic + L2,23,"{""l2"": 1.0, ""soft_penalty"": 10.0}",0.8711111111111112,21,21,3.0,0.004467955308666907,1.0,10.0,
1,1,5,Soft Monotonic + L2,23,"{""l2"": 1.0, ""soft_penalty"": 10.0}",0.7708333333333333,20,21,2.0,0.008455438636753519,1.0,10.0,
1,1,1,Soft Monotonic + L2,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",0.7295238095238095,10,21,2.0,0.007907879073054661,10.0,0.0,
1,1,2,Soft Monotonic + L2,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",0.5305555555555556,10,21,3.0,0.01271232036105517,10.0,0.0,
1,1,3,Soft Monotonic + L2,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",0.7611111111111111,10,21,1.0,0.01054797819705876,10.0,0.0,
1,1,4,Soft Monotonic + L2,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",0.7544444444444445,10,21,3.0,0.005300685475750303,10.0,0.0,
1,1,5,Soft Monotonic + L2,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",0.7470238095238095,8,21,3.0,0.011155344651854974,10.0,0.0,
1,1,1,Soft Monotonic + L2,25,"{""l2"": 10.0, ""soft_penalty"": 0.001}",0.7295238095238095,10,21,2.0,0.007907108245498649,10.0,0.001,
