Monotonic,L2,Elastic Net,SVM,Inner-selected
0.7155696224584968,0.7093270637665132,0.6850183493016476,0.6891056338241835,0.6985087393769989
0.7628164620471346,0.7751907274642567,0.7248531691291337,0.7157703644433685,0.7386818188114406
0.7164217974022608,0.7171838360293499,0.7174893931975693,0.653836118688267,0.7002315676905438
0.6334938219530046,0.6300117758791928,0.6200778998459555,0.5739372215689941,0.6194285157807927
0.7433586890691875,0.7486905537128692,0.7634167913011934,0.7037180733725623,0.7476370356609969
0.7937670330480621,0.794368563540589,0.7786441508426762,0.7227591115621799,0.7802735168622107
0.7311443688803034,0.7350113179410728,0.6984956667903124,0.7017944775287741,0.7206494958871786
0.7478118415114036,0.749936640103464,0.7603421875762739,0.7000425255740732,0.733105205248377
0.6994210066902956,0.7096769452888576,0.6881614047830502,0.6718680646638573,0.697736166315864
0.6330523021173257,0.629479664677489,0.633608847654201,0.577224998270593,0.6241142645771349
0.7270355744969688,0.7358212446380605,0.7455562641631587,0.711058930827145,0.7277063912371179
0.7790760604710002,0.7836406898542223,0.7535239744070655,0.7124573392108596,0.7516252050788835
0.6501680527904771,0.6421226823708768,0.6245611185966599,0.6175530121571319,0.6298932370265781
0.5577753026947908,0.5563347031993592,0.5543830835058979,0.5165389288932355,0.5455105026139193
0.6514257609171749,0.648382510322454,0.6565493785645572,0.6215183163299264,0.6338929849960063
0.7152816350966837,0.7136872049592498,0.6956797204218524,0.6715379246079612,0.6991970843485613
0.7795999525937027,0.7836291541381099,0.7650631564813652,0.713770630196833,0.7652268833409258
0.6449109490183021,0.6356324468656929,0.6390250945657984,0.5959416451137564,0.6326056156981055
0.776111769655179,0.7779495258947221,0.7579696154182014,0.7633517654128926,0.7592942684022705
0.6584451154085987,0.6539285817997285,0.6442569777830645,0.6269274540339999,0.6425466276848788
0.7335547455021663,0.7405490694773358,0.7296207441215304,0.7061330726350948,0.724955630971397
0.7122816935217496,0.7083766250276609,0.6985473720190514,0.6597506139696878,0.6950456319927607
0.6194793238371493,0.6189701176663363,0.5920441946825352,0.5799075230130902,0.5982169497558152
0.7176188908595172,0.7176259695346807,0.6839124949030513,0.6517899371484033,0.692107288926217
0.7615517203822606,0.758246848735893,0.7281864897921618,0.7060517156963049,0.739545980587485
0.7947751495913186,0.8046108174096928,0.7668853771599113,0.7499806110232231,0.7826516046411676
0.5995976014850795,0.600921297105996,0.5726540154396523,0.5510347034334222,0.5695707027048063
0.7535790585794293,0.7478224737257377,0.7300043855343412,0.7158944384439995,0.7370771814019623
0.6681631966852453,0.6713798913301727,0.6695765625878822,0.6259919191950928,0.6600958487084349
0.769395353974012,0.7675632157222273,0.7392590482999998,0.7153978723692846,0.7477288778135472
0.7402352666684466,0.7259124684796058,0.6865856539788042,0.6580295887157488,0.69328990536769
0.7051408838899865,0.7072931383258192,0.6981659049110858,0.6567420494648258,0.6968109727337068
